playerIdOpta,playerNameOpta,playerNameWy,playerIdWy,Ratio,value
42748,Gaëtan Bong,Gaëtan Bong Songo,26495,Dribble,1.8235294117647058
42774,Morgan Schneiderlin,Morgan Schneiderlin,8143,Dribble,1.1
42786,Eden Hazard,Eden Hazard,25707,Dribble,2.0776699029126213
42899,Sergio Romero,Sergio Germán Romero,20606,Dribble,
43250,Tom Cleverley,Tom Cleverley,7929,Dribble,2.0
43521,Henri Saivet,Henri Saivet,25604,Dribble,
43670,Juan Mata,Juan Manuel Mata García,7906,Dribble,2.0
43808,Markus Suttner,Markus Suttner,64966,Dribble,1.5
44343,Bakary Sako,Bakary Sako,25865,Dribble,1.2142857142857142
44346,Olivier Giroud,Olivier Giroud,26010,Dribble,3.0
44604,Nordin Amrabat,Nordin Amrabat,32968,Dribble,1.25
44683,Jay Rodriguez,Jay Rodriguez,8958,Dribble,1.4545454545454546
44699,Ashley Barnes,Ashley Barnes,9123,Dribble,1.1304347826086956
45124,André Ayew,André Ayew Pelé,25572,Dribble,1.631578947368421
45268,Moussa Sissoko,Moussa Sissoko,25804,Dribble,1.1724137931034482
46483,Adrien Silva,Adrien Sebastian Perruchet Silva,70403,Dribble,1.3333333333333333
48332,Orestis Karnezis,Orestis Karnezis,92864,Dribble,
48615,Harry Arter,Harry Arter,9283,Dribble,0.8888888888888888
48717,Winston Reid,Winston Reid,8553,Dribble,2.0
48844,David Ospina,David Ospina Ramírez,25662,Dribble,
49013,Victor Moses,Victor Moses,8625,Dribble,2.0
49277,Leroy Fer,Leroy Fer,262,Dribble,1.32
49413,James Tomkins,James Tomkins,8554,Dribble,1.1666666666666667
49440,Hal Robson-Kanu,Hal Robson-Kanu,8686,Dribble,0.9615384615384616
49579,Pedro,Pedro Eliezer Rodríguez Ledesma,3360,Dribble,1.4444444444444444
49944,Jake Livermore,Jake Livermore,8285,Dribble,1.6470588235294117
50229,Matt Phillips,Matt Phillips,9414,Dribble,1.5714285714285714
50471,James McArthur,James McArthur,8623,Dribble,2.1666666666666665
50472,James McCarthy,James McCarthy,8624,Dribble,3.0
51344,Rajiv van La Parra,Rajiv van La Parra,173,Dribble,1.5104166666666667
51507,Laurent Koscielny,Laurent Koscielny,7855,Dribble,0.36363636363636365
51927,Ben Mee,Ben Mee,8944,Dribble,0.75
51938,Marc Albrighton,Marc Albrighton,8013,Dribble,1.4428571428571428
51940,David de Gea,David de Gea Quintana,7910,Dribble,
52153,Miguel Britos,Miguel Ángel Britos Cabrera,21160,Dribble,1.3333333333333333
52940,Daryl Janmaat,Daryl Janmaat,160,Dribble,1.4210526315789473
54102,Jack Wilshere,Jack Wilshere,7873,Dribble,1.22
54284,Chris Löwe,Chris Löwe,14796,Dribble,2.0
54469,Adam Smith,Adam Smith,8460,Dribble,1.1363636363636365
54513,Vicente Iborra,Vicente Iborra De La Fuente,3928,Dribble,1.0714285714285714
54694,Pierre-Emerick Aubameyang,Pierre-Emerick Aubameyang,25867,Dribble,1.0
54756,Victor Wanyama,Victor Wanyama,61967,Dribble,2.7777777777777777
54861,Christian Benteke,Christian Benteke Liolo,38031,Dribble,1.2
54908,Nacer Chadli,Nacer Chadli,261,Dribble,1.0
55037,Cheikhou Kouyaté,Cheikhou Kouyaté,37725,Dribble,1.1935483870967742
55422,Gylfi Sigurdsson,Gylfi Þór Sigurðsson,77558,Dribble,1.2692307692307692
55452,Yannick Bolasie,Yannick Bolasie Yala,9194,Dribble,1.4193548387096775
55459,Aaron Cresswell,Aaron Cresswell,8582,Dribble,1.4615384615384615
55494,Joel Ward,Joel Ward,8221,Dribble,1.0666666666666667
55605,Toby Alderweireld,Toby Alderweireld,36,Dribble,1.8
55909,Chris Smalling,Chris Smalling,7922,Dribble,0.42857142857142855
56864,Francis Coquelin,Francis Coquelin,7864,Dribble,1.0
56872,Junior Stanislas,Junior Stanislas,8959,Dribble,1.4782608695652173
56917,Steve Cook,Steve Cook,9277,Dribble,
56979,Jordan Henderson,Jordan Brian Henderson,7964,Dribble,0.9375
56983,Matt Ritchie,Matt Ritchie,9227,Dribble,1.1875
57001,Wilfried Bony,Wilfried Guemiand Bony,471,Dribble,1.75
57112,Eliaquim Mangala,Eliaquim Mangala,70085,Dribble,1.0
57145,Federico Fernández,Federico Fernández,21164,Dribble,1.3333333333333333
57249,Henrikh Mkhitaryan,Henrikh Mkhitaryan,105338,Dribble,1.3695652173913044
57328,Nathaniel Clyne,Nathaniel Clyne,8392,Dribble,2.0
57410,Nicolás Otamendi,Nicolás Hernán Otamendi,70086,Dribble,1.4
