matchId,playerId,minsPlayed
919123,38411,33
919134,38411,93
919144,38411,45
919161,38411,95
919203,38411,94
919228,38411,93
919234,38411,94
919247,38411,31
919265,38411,26
918893,51938,87
918906,51938,95
918918,51938,59
918927,51938,45
918936,51938,65
918947,51938,79
918953,51938,74
918966,51938,95
918980,51938,94
918988,51938,11
919008,51938,67
919022,51938,96
919026,51938,96
919038,51938,94
919048,51938,95
919061,51938,21
919068,51938,76
919077,51938,95
919091,51938,94
919097,51938,82
919107,51938,93
919114,51938,95
919127,51938,94
919137,51938,94
919148,51938,94
919156,51938,93
919168,51938,94
919176,51938,98
919191,51938,28
919204,51938,79
919218,51938,94
919238,51938,94
919244,51938,56
918893,203341,95
918906,203341,95
918918,203341,95
918927,203341,94
918936,203341,93
918947,203341,95
918953,203341,95
918966,203341,95
918980,203341,94
918988,203341,94
918999,203341,94
919008,203341,93
919022,203341,96
919026,203341,96
919038,203341,94
919048,203341,95
919061,203341,93
919068,203341,61
919077,203341,95
919091,203341,94
919097,203341,94
919107,203341,93
919114,203341,95
919127,203341,94
919137,203341,94
919148,203341,94
919156,203341,93
919168,203341,94
919176,203341,98
919191,203341,94
919204,203341,86
919238,203341,94
919244,203341,50
918893,37402,95
918906,37402,95
918918,37402,95
918927,37402,94
918953,37402,95
918966,37402,95
918980,37402,94
918988,37402,94
918999,37402,94
919008,37402,93
919022,37402,96
919048,37402,7
919061,37402,93
919077,37402,95
919097,37402,94
919107,37402,93
919114,37402,22
919137,37402,21
919148,37402,94
919156,37402,93
919176,37402,79
919204,37402,12
919196,37402,95
919258,37402,95
919271,37402,96
918893,78412,71
918906,78412,75
918918,78412,60
918936,78412,25
918947,78412,74
918953,78412,68
918980,78412,68
918988,78412,19
918999,78412,58
919008,78412,10
919026,78412,83
919038,78412,7
919048,78412,22
919061,78412,93
919068,78412,18
919077,78412,29
919091,78412,73
919097,78412,21
919107,78412,93
919114,78412,73
919127,78412,64
919137,78412,57
919148,78412,14
919191,78412,59
919204,78412,55
919218,78412,38
919223,78412,45
918893,101668,95
918906,101668,92
918918,101668,76
918927,101668,94
918936,101668,82
918947,101668,95
918953,101668,95
918966,101668,95
918980,101668,94
918988,101668,89
918999,101668,94
919008,101668,93
919022,101668,96
919026,101668,87
919038,101668,94
919048,101668,90
919061,101668,72
919068,101668,84
919077,101668,95
919091,101668,94
919097,101668,73
919114,101668,82
919127,101668,89
919137,101668,94
919148,101668,94
919156,101668,93
919168,101668,94
919176,101668,98
919191,101668,94
919204,101668,96
919218,101668,94
919223,101668,95
919238,101668,94
919244,101668,92
919196,101668,95
919258,101668,95
919271,101668,96
918893,11334,95
918909,11334,95
918917,11334,93
918923,11334,93
918934,11334,100
918943,11334,93
918954,11334,93
918972,11334,95
918974,11334,96
918984,11334,93
918996,11334,95
919004,11334,94
919013,11334,93
919024,11334,93
919034,11334,96
919049,11334,94
919058,11334,93
919064,11334,95
919073,11334,94
919085,11334,94
919102,11334,95
919103,11334,94
919113,11334,95
919123,11334,94
919134,11334,93
919144,11334,70
919161,11334,95
919164,11334,92
919173,11334,97
919184,11334,93
919214,11334,96
919228,11334,93
919196,11334,95
919254,11334,90
918893,61604,81
918906,61604,95
918918,61604,95
918927,61604,77
919097,61604,12
919107,61604,86
919114,61604,90
919127,61604,94
919137,61604,94
919148,61604,27
919156,61604,93
919168,61604,94
919176,61604,98
918893,50175,74
918909,50175,95
918917,50175,93
918923,50175,75
918934,50175,73
918972,50175,60
919013,50175,15
919024,50175,20
919034,50175,26
919049,50175,31
919058,50175,23
919064,50175,23
919073,50175,17
919102,50175,21
919103,50175,14
919113,50175,95
919161,50175,10
919164,50175,92
919173,50175,23
919184,50175,27
919203,50175,61
919214,50175,96
919228,50175,26
919234,50175,87
919247,50175,31
919196,50175,19
919254,50175,19
919265,50175,27
918893,81880,95
918909,81880,95
918917,81880,61
918928,81880,55
918937,81880,15
918947,81880,16
918959,81880,10
918967,81880,15
918981,81880,61
918989,81880,27
919002,81880,87
919009,81880,20
919016,81880,88
919032,81880,66
919035,81880,15
919046,81880,77
919059,81880,17
919063,81880,93
919073,81880,11
919087,81880,93
919097,81880,23
919105,81880,95
919117,81880,95
919131,81880,68
919133,81880,11
919149,81880,31
919158,81880,60
919169,81880,93
919177,81880,79
919188,81880,62
919197,81880,22
919206,81880,30
919217,81880,25
919226,81880,93
919242,81880,28
918893,103025,95
