GN,D,c1_m,x_dist_goal
57,32.206356458465685,6.782048000000002,15.285060000000001
58,31.939122625035708,7.255327999999996,15.712620000000001
59,32.53563681619163,6.277215999999998,15.301439999999996
60,32.303888138604,6.938447999999996,15.962099999999996
61,32.27928719693398,6.769807999999999,15.526979999999998
62,31.444046372303383,8.000335999999997,16.015860000000007
63,32.36492241471873,7.119872000000002,16.374119999999998
64,32.12084149084221,6.468704000000003,14.953680000000002
65,32.050727452256616,6.78912,15.357719999999993
66,32.27119870000656,7.156048000000004,16.041059999999995
67,32.486313085905316,6.8601120000000035,16.117499999999993
68,32.55772919160517,6.506783999999995,15.763440000000006
69,32.32581756916949,7.405472,16.582019999999996
70,32.25295242211669,7.238736000000001,16.307339999999982
71,32.6560409721844,6.7659999999999965,16.101119999999998
72,32.16797966393165,6.45592,14.660099999999996
73,32.5186194107115,6.603343999999998,15.555120000000008
74,32.224899326790165,6.823664000000003,15.500099999999994
75,32.55519528616435,6.622111999999998,15.849960000000005
76,32.37880345840471,7.055952000000001,16.28718
77,31.838039954351395,7.2207840000000045,15.503879999999997
78,32.0052377986466,7.314079999999997,16.077599999999993
79,31.683705369433273,6.885952000000002,14.730239999999998
80,32.08910902138356,7.319791999999995,16.05072
81,31.81577386550208,6.735264,14.681520000000004
82,32.504417606265704,6.368064000000002,15.335460000000001
83,32.0421617654119,6.376223999999995,14.642040000000001
84,31.789560383302938,6.910160000000001,14.973839999999992
85,31.744832279377103,6.971087999999999,15.0507
86,32.539828387887674,6.393903999999998,15.598799999999992
87,32.46073952638627,6.508688000000002,15.529080000000002
88,32.5972279536398,6.402063999999998,15.733619999999995
89,31.34781134427601,7.481360000000002,15.019199999999989
90,32.06999791963395,6.884863999999997,15.37746
91,32.6779667346238,6.694463999999997,16.14353999999999
92,32.25190948686671,6.6098719999999975,15.398880000000005
93,31.946539849697526,7.1924959999999984,15.58788
94,32.561985285855194,6.3998880000000025,15.666840000000006
95,32.07511530188616,7.066832000000006,15.526139999999998
96,32.15847875394135,7.1636639999999945,15.85667999999999
97,32.3039361211881,6.833999999999999,15.686579999999987
98,32.287925912919555,6.693103999999998,15.630299999999995
99,32.160982115316166,6.794288000000004,15.42491999999999
100,32.09685934723709,6.845968000000001,15.46271999999999
101,32.226926428754524,6.945247999999999,15.979739999999994
102,32.6417875461861,6.440687999999999,15.715560000000007
103,31.983484385912018,6.739616,15.095220000000014
104,32.630809433500986,6.564720000000003,16.056600000000003
105,31.781554733435502,6.957760000000001,15.069180000000008
106,32.14987039299847,6.763552,15.497999999999989
107,31.613921238592937,6.792383999999999,14.280420000000005
108,32.477009238295594,6.548672000000002,15.789060000000001
109,32.17657141724414,6.8544,15.472379999999987
110,31.94782266411219,6.655024000000004,14.925539999999996
111,31.958827105540564,6.558464000000001,14.802060000000006
112,32.304778674262096,7.007808000000001,16.151100000000003
113,32.38061450639525,6.494000000000001,15.393840000000004
114,32.168949526757096,6.590016000000004,15.240539999999998
115,31.396872409808314,6.800544000000001,14.07126
116,31.178407074689883,6.972176000000002,14.022539999999998
117,31.87916042900072,6.190991999999999,13.96668000000001
118,31.757849690292307,7.181887999999998,15.521519999999992
119,31.85099711997186,6.854400000000002,15.009959999999998
120,32.55272001425945,6.4088639999999995,15.76722
121,32.31154351791141,6.220640000000001,15.054479999999987
122,31.657676068887977,6.704256,14.194319999999994
123,32.51971834647082,6.018816000000003,14.795759999999996
124,32.412905215139446,6.063968000000001,14.802059999999985
125,32.100740622451134,6.594640000000003,14.98979999999999
126,31.303046409455696,6.798911999999999,13.930979999999987
127,31.37013418478402,7.619808000000007,15.29808
128,31.276415631207737,7.2746399999999944,14.474879999999999
129,32.20333368887741,6.533983999999999,14.931420000000005
130,32.46568608887212,7.091856,16.435440000000007
131,32.447398262461455,6.785312000000002,15.866759999999992
132,32.164077571351385,6.556832000000001,15.33042
133,32.80571575255391,6.484752000000002,16.070459999999997
134,32.24335673793064,5.8798240000000055,14.209439999999994
135,31.36806135160356,6.817952000000003,14.031360000000001
136,32.19470493879764,6.646048,15.382499999999997
137,32.1898936725488,6.254368,14.730660000000004
138,31.65759405560264,6.661551999999998,14.502179999999996
139,32.63906077644716,6.157264,15.303959999999984
140,32.32932469277008,6.449936000000002,15.360659999999987
141,31.729698398402988,6.959119999999997,15.01164
142,32.47472639294014,6.206768000000002,15.354779999999998
143,32.51024099510291,6.934367999999997,16.39386
144,32.7633447476339,6.323183999999998,16.00829999999999
145,32.379796525070745,6.457280000000001,15.495060000000002
146,32.25152248421796,6.482848,15.105719999999996
147,32.3307759062888,6.190176000000005,14.986019999999991
148,32.11374306491071,6.569888,14.972580000000004
149,32.508861801020636,6.79184,16.0566
150,32.66887024347604,6.419472000000002,15.715140000000003
151,32.32894509453199,6.229888000000001,14.731499999999999
152,32.271150751860766,6.093887999999997,14.482440000000008
153,32.09741900313265,6.677327999999997,15.178379999999999
154,32.535903751612835,6.429535999999995,15.599219999999999
155,32.59156977250669,6.419472,15.9537
156,32.4641152044059,6.319648,15.416099999999993
157,32.34921926799453,6.655024000000003,15.656339999999995
158,32.236837859038324,6.342224,15.035999999999996
159,31.99012074071845,6.569344000000003,14.846579999999996
160,32.485847394734506,6.330799999999998,15.301440000000001
161,32.67831050998574,6.365072000000004,15.807960000000005
162,32.13821366720684,6.7774240000000034,15.500099999999989
163,33.797514446789265,5.479711999999994,16.505999999999986
164,32.38956964342355,6.4986239999999995,15.659279999999999
165,32.2199899171587,6.410223999999998,15.111600000000003
166,32.58586438134461,6.356368000000001,15.490019999999987
167,31.853719967242654,6.594095999999993,14.734440000000003
168,32.25260824661104,6.732544000000007,15.516480000000005
169,32.55311779101924,6.759200000000004,16.214099999999988
170,32.58317728880207,6.329984000000001,15.591240000000015
171,32.235074961817176,6.647136,15.560580000000003
172,31.674011541230684,6.901728,14.982660000000005
173,32.944404563740946,6.136592000000001,15.88943999999998
174,31.635150989930434,7.256415999999998,15.213659999999996
175,32.11438582422529,5.9330000000000025,14.120859375
